myid = 5	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-15_ecc3E-2_nofrag_acc/rand06/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-15_ecc3E-2_nofrag_acc/
SUBDIRECTORY	rand
N_tr	3000
N_p	3
ECC_RATIO	3.0
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
RAYLEIGH_DISTRIBUTION	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
EXECUTION_TIME_FUNC	0
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*3.0)
PLANET_INC	((0.01*3.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*3.0)
INC_RMS	((0.01*3.0)*0.5)
DELTA_HILL	10.0
SEPARATE_HILL	5.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
GEOMETRIC_RATIO_LONGTERM	pow(10.0,1.0/128.0)
-----
inner = 848,	center = 1047,	outer = 1103,	total = 3000
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	  2172	1.309966990171065e-03	4.216965034285821e-01	1.028332263965666e-01
2.000000e+06	  3	  3000	   215	1.518123782770911e-03	9.999999999999994e-01	5.134151127785012e-02
3.000000e+06	  3	  3000	   805	1.418649507982982e-03	1.333521432163323e+00	2.446584897656700e-01
4.000000e+06	  3	  3000	  1192	1.780035687367107e-03	1.778279410038922e+00	3.280344814788215e-01
5.000000e+06	  3	  3000	  2662	1.894330534662571e-03	2.371373705661654e+00	2.637226432298302e-01
6.000000e+06	  3	  3000	  1587	1.438711744888207e-03	3.162277660168377e+00	8.128261706348543e-04
7.000000e+06	  3	  3000	  2799	1.430563223676177e-03	3.162277660168377e+00	5.289225332963569e-01
8.000000e+06	  3	  3000	   513	2.151916643405135e-03	4.216965034285820e+00	2.993057863605264e-03
9.000000e+06	  3	  3000	   476	1.927473536898771e-03	4.216965034285820e+00	5.331105855756902e-01
1.000000e+07	  3	  3000	  1507	1.455815833202609e-03	4.216965034285820e+00	1.060831280906630e+00
1.100000e+07	  3	  3000	    86	1.756854527977548e-03	5.623413251903486e+00	1.811521627747816e-01
1.200000e+07	  3	  3000	  2511	1.950449002456201e-03	5.623413251903486e+00	7.082566828262042e-01
1.300000e+07	  3	  3000	   218	1.143073548410183e-03	5.623413251903486e+00	1.237319276916393e+00
1.400000e+07	  3	  3000	  2482	1.432861863960607e-03	5.623413251903486e+00	1.765137175501060e+00
1.500000e+07	  3	  3000	  2148	1.269722765283900e-03	7.498942093324552e+00	4.180936733123315e-01
1.600000e+07	  3	  3000	   573	1.367454884189614e-03	7.498942093324552e+00	9.455744245797634e-01
1.700000e+07	  3	  3000	   700	2.175281834902198e-03	7.498942093324552e+00	1.474079263911269e+00
1.800000e+07	  3	  3000	   182	1.185278871838137e-03	7.498942093324552e+00	2.001257002954815e+00
1.900000e+07	  3	  3000	  2277	1.346751252599645e-03	9.999999999999991e+00	2.832635938545200e-02
2.000000e+07	  3	  3000	   147	1.967534851758226e-03	9.999999999999991e+00	5.568344760069698e-01
2.100000e+07	  3	  3000	  2627	1.397383619434307e-03	9.999999999999991e+00	1.083678033182948e+00
2.200000e+07	  3	  3000	   742	1.596408588567534e-03	9.999999999999991e+00	1.613895477461335e+00
2.300000e+07	  3	  3000	  1717	1.468256558420422e-03	9.999999999999991e+00	2.141316865701204e+00
2.400000e+07	  3	  3000	   899	1.517521522442927e-03	9.999999999999991e+00	2.670672079566043e+00
2.500000e+07	  3	  3000	   467	1.513594497844652e-03	9.999999999999991e+00	3.199097727851515e+00
2.600000e+07	  3	  3000	  1044	1.206357774481290e-03	1.333521432163323e+01	3.909941540594132e-01
2.700000e+07	  3	  3000	  2406	1.533910382759259e-03	1.333521432163323e+01	9.188073625459836e-01
2.800000e+07	  3	  3000	  1816	1.834206775241398e-03	1.333521432163323e+01	1.447071555821766e+00
2.900000e+07	  3	  3000	  2855	1.910772854793757e-03	1.333521432163323e+01	1.977472286756651e+00
3.000000e+07	  3	  3000	  1402	1.583541142519420e-03	1.333521432163323e+01	2.505220539536043e+00
