myid = 5	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_acc/rand06/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_acc/
SUBDIRECTORY	rand
N_tr	3000
N_p	3
ECC_RATIO	3.0
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
RAYLEIGH_DISTRIBUTION	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
EXECUTION_TIME_FUNC	0
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*3.0)
PLANET_INC	((0.01*3.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*3.0)
INC_RMS	((0.01*3.0)*0.5)
DELTA_HILL	10.0
SEPARATE_HILL	5.0
DT_FRAGCHECK	2.0*3.14159265358979323846*0.1
GEOMETRIC_RATIO_FRAG	pow(10.0,1.0/8.0)
DELTA_R	0.01
DELTA_THETA	0.125*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	DEPLETION_TIME_EXPLICIT
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
GEOMETRIC_RATIO_LONGTERM	pow(10.0,1.0/128.0)
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
inner = 848,	center = 1047,	outer = 1103,	total = 3000
initial mass depletion timescale =3.346525e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	     3	1.062908882819448e-05	4.216965034285821e-01	1.739438752147750e-02
2.000000e+06	  3	  3000	   758	1.495802547717091e-03	7.498942093324554e-01	1.338108847056308e-01
3.000000e+06	  3	  3000	   799	1.284082346944067e-03	9.999999999999994e-01	3.260774143439286e-01
4.000000e+06	  3	  3000	  1885	1.391100261145460e-03	1.778279410038922e+00	1.341503722091304e-02
5.000000e+06	  3	  3000	  1793	1.917218666595072e-03	1.778279410038922e+00	4.602459314695861e-01
6.000000e+06	  3	  3000	   165	1.548063524639321e-03	2.371373705661654e+00	3.124373818114252e-01
7.000000e+06	  3	  3000	  1496	1.632660866982991e-03	2.371373705661654e+00	7.583472476821347e-01
8.000000e+06	  3	  3000	  2082	1.345547056793414e-03	3.162277660168377e+00	4.371627691103145e-01
9.000000e+06	  3	  3000	     3	4.603509770217983e-09	3.162277660168377e+00	8.598002070563048e-01
1.000000e+07	  3	  3000	   164	1.183463627013059e-03	4.216965034285820e+00	3.055594953289713e-01
1.100000e+07	  3	  3000	   653	1.459374167350584e-03	4.216965034285820e+00	8.230831676108359e-01
1.200000e+07	  3	  3000	  2298	1.612417062368715e-03	4.216965034285820e+00	1.319190187950109e+00
1.300000e+07	  3	  3000	  1492	2.060163339068998e-03	5.623413251903486e+00	4.136052667619992e-01
1.400000e+07	  3	  3000	  1382	1.874341823770603e-03	5.623413251903486e+00	9.343165733370801e-01
1.500000e+07	  3	  3000	  1540	1.685045966220687e-03	5.623413251903486e+00	1.452636780154429e+00
1.600000e+07	  3	  3000	  2358	1.959332820087808e-03	7.498942093324552e+00	1.023092539721719e-01
1.700000e+07	  3	  3000	  1124	1.710563576940680e-03	7.498942093324552e+00	6.285490786323199e-01
1.800000e+07	  3	  3000	  1225	1.223391026721435e-03	7.498942093324552e+00	1.152058716714708e+00
1.900000e+07	  3	  3000	  2436	1.296007920046995e-03	7.498942093324552e+00	1.675758201902833e+00
2.000000e+07	  3	  3000	    92	1.704463564810742e-03	7.498942093324552e+00	2.196251105576762e+00
2.100000e+07	  3	  3000	  1581	1.288665306775049e-03	9.999999999999991e+00	2.116892446095121e-01
2.200000e+07	  3	  3000	  2289	1.823258507406377e-03	9.999999999999991e+00	7.275109969330726e-01
2.300000e+07	  3	  3000	  2227	1.049743860454315e-03	9.999999999999991e+00	1.248033320421331e+00
2.400000e+07	  3	  3000	   624	1.228475943377821e-03	9.999999999999991e+00	1.775371866896441e+00
2.500000e+07	  3	  3000	  2545	1.900384416634867e-03	9.999999999999991e+00	2.295702989928155e+00
