myid = 1	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc5E-2_frag_acc/rand02/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc5E-2_frag_acc/
SUBDIRECTORY	rand
N_tr	3000
N_p	3
ECC_RATIO	5.0
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
RAYLEIGH_DISTRIBUTION	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
EXECUTION_TIME_FUNC	0
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
SEPARATE_HILL	5.0
DT_FRAGCHECK	2.0*3.14159265358979323846*0.1
GEOMETRIC_RATIO_FRAG	pow(10.0,1.0/8.0)
DELTA_R	0.01
DELTA_THETA	0.125*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	DEPLETION_TIME_EXPLICIT
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
GEOMETRIC_RATIO_LONGTERM	pow(10.0,1.0/128.0)
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
inner = 872,	center = 1087,	outer = 1037,	total = 3000
initial mass depletion timescale =1.610072e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	    14	1.215170728446942e-03	4.216965034285821e-01	1.135828482056356e-02
2.000000e+06	  3	  3000	   723	1.742382439652750e-03	7.498942093324554e-01	1.265219322947062e-01
3.000000e+06	  3	  3000	  1082	1.341912708892034e-03	9.999999999999994e-01	3.152642993000269e-01
4.000000e+06	  3	  3000	  2393	1.571624227033201e-03	1.778279410038922e+00	1.806639324564693e-02
5.000000e+06	  3	  3000	  2127	1.746125235394529e-03	1.778279410038922e+00	5.118422486266118e-01
6.000000e+06	  3	  3000	  1982	1.524280726499208e-03	2.371373705661654e+00	4.180898893444850e-01
7.000000e+06	  3	  3000	   516	1.521222883487816e-03	3.162277660168377e+00	1.334339172970058e-01
8.000000e+06	  3	  3000	  2165	2.310533891581023e-03	3.162277660168377e+00	6.366226973044055e-01
9.000000e+06	  3	  3000	  2603	1.893256410544158e-03	4.216965034285820e+00	8.856242810382077e-02
1.000000e+07	  3	  3000	   795	1.620517879545856e-03	4.216965034285820e+00	6.062695993692864e-01
1.100000e+07	  3	  3000	   906	1.254090047269807e-03	4.216965034285820e+00	1.121655473509811e+00
1.200000e+07	  3	  3000	  1428	1.024457980897983e-03	5.623413251903486e+00	2.332651008531867e-01
1.300000e+07	  3	  3000	   295	1.526689627147304e-03	5.623413251903486e+00	7.505759438190375e-01
1.400000e+07	  3	  3000	    30	1.842405738142157e-03	5.623413251903486e+00	1.265749277644673e+00
1.500000e+07	  3	  3000	  1088	1.658028984836040e-03	5.623413251903486e+00	1.788969551048967e+00
1.600000e+07	  3	  3000	  1917	1.455810606958891e-03	7.498942093324552e+00	4.330793026383490e-01
1.700000e+07	  3	  3000	  1476	1.738638760210364e-03	7.498942093324552e+00	9.559756789916469e-01
1.800000e+07	  3	  3000	  1970	2.410946566135530e-03	7.498942093324552e+00	1.477916355569223e+00
1.900000e+07	  3	  3000	  1803	1.664456709664150e-03	7.498942093324552e+00	1.999921717876163e+00
2.000000e+07	  3	  3000	  1367	1.364459089591647e-03	9.999999999999991e+00	2.195259666209625e-02
2.100000e+07	  3	  3000	  2181	1.865750776431489e-03	9.999999999999991e+00	5.422303228241965e-01
2.200000e+07	  3	  3000	   440	1.646402863736190e-03	9.999999999999991e+00	1.064807817787486e+00
2.300000e+07	  3	  3000	  1996	1.440964101450608e-03	9.999999999999991e+00	1.587132128633431e+00
2.400000e+07	  3	  3000	  2838	1.968729179689596e-03	9.999999999999991e+00	2.108233449242318e+00
2.500000e+07	  3	  3000	  2069	1.673844709057796e-03	9.999999999999991e+00	2.632011914082612e+00
